Detailed solution trace (one move per line)
alpha=1.0, beta=1.0
step	from	to	edge_dist	city_gold_total	taken_here	carry_before	carry_after	move_cost	cumulative_cost	delivered_total_so_far
1	0	25	0.576842	474.015912	0.000000	0.000000	0.000000	0.576842	0.576842	0.000000
2	25	42	0.195539	916.095833	916.095833	0.000000	916.095833	0.195539	0.772381	0.000000
3	42	25	0.195539	474.015912	474.015912	916.095833	1390.111745	179.327708	180.100089	0.000000
4	25	0	0.576842	0.000000	0.000000	1390.111745	0.000000	802.452076	982.552165	1390.111745
5	0	28	0.080083	521.151730	0.000000	0.000000	0.000000	0.080083	982.632248	1390.111745
6	28	47	0.169007	829.959953	0.000000	0.000000	0.000000	0.169007	982.801255	1390.111745
7	47	18	0.230949	482.821134	0.000000	0.000000	0.000000	0.230949	983.032204	1390.111745
8	18	37	0.207099	281.952550	281.952550	0.000000	281.952550	0.207099	983.239303	1390.111745
9	37	4	0.182853	416.391595	416.391595	281.952550	698.344145	51.738748	1034.978050	1390.111745
10	4	18	0.025383	482.821134	482.821134	698.344145	1181.165278	17.751768	1052.729818	1390.111745
11	18	47	0.230949	829.959953	0.000000	1181.165278	1181.165278	273.020255	1325.750073	1390.111745
12	47	28	0.169007	521.151730	0.000000	1181.165278	1181.165278	199.793850	1525.543923	1390.111745
13	28	0	0.080083	0.000000	0.000000	1181.165278	0.000000	94.671184	1620.215108	2571.277023
14	0	1	0.409325	584.513871	0.000000	0.000000	0.000000	0.409325	1620.624432	2571.277023
15	1	50	0.050037	952.946496	0.000000	0.000000	0.000000	0.050037	1620.674470	2571.277023
16	50	11	0.203144	171.422376	171.422376	0.000000	171.422376	0.203144	1620.877614	2571.277023
17	11	50	0.203144	952.946496	952.946496	171.422376	1124.368871	35.026592	1655.904206	2571.277023
18	50	1	0.050037	584.513871	584.513871	1124.368871	1708.882742	56.310615	1712.214821	2571.277023
19	1	0	0.409325	0.000000	0.000000	1708.882742	0.000000	699.897025	2412.111846	4280.159765
20	0	51	0.524350	291.626920	0.000000	0.000000	0.000000	0.524350	2412.636197	4280.159765
21	51	5	0.113175	42.572560	42.572560	0.000000	42.572560	0.113175	2412.749372	4280.159765
22	5	51	0.113175	291.626920	291.626920	42.572560	334.199480	4.931333	2417.680705	4280.159765
23	51	0	0.524350	0.000000	0.000000	334.199480	0.000000	175.761983	2593.442688	4614.359245
24	0	30	0.170865	22.590468	0.000000	0.000000	0.000000	0.170865	2593.613554	4614.359245
25	30	33	0.199654	141.108840	0.000000	0.000000	0.000000	0.199654	2593.813207	4614.359245
26	33	59	0.347446	891.785589	891.785589	0.000000	891.785589	0.347446	2594.160653	4614.359245
27	59	33	0.347446	141.108840	141.108840	891.785589	1032.894429	310.194979	2904.355632	4614.359245
28	33	30	0.199654	22.590468	22.590468	1032.894429	1055.484897	206.420704	3110.776336	4614.359245
29	30	0	0.170865	0.000000	0.000000	1055.484897	0.000000	180.516720	3291.293057	5669.844142
30	0	30	0.170865	22.590468	0.000000	0.000000	0.000000	0.170865	3291.463922	5669.844142
31	30	10	0.147078	588.056928	0.000000	0.000000	0.000000	0.147078	3291.611000	5669.844142
